,favorite_count,tweet_id,retweet_count,truncated
0,39467,892420643555336193,8853,False
1,33819,892177421306343426,6514,False
2,25461,891815181378084864,4328,False
3,42908,891689557279858688,8964,False
4,41048,891327558926688256,9774,False
5,20562,891087950875897856,3261,False
6,12041,890971913173991426,2158,False
7,56848,890729181411237888,16716,False
8,28226,890609185150312448,4429,False
9,32467,890240255349198849,7711,False
10,31166,890006608113172480,7624,False
11,28268,889880896479866881,5156,False
12,38818,889665388333682689,8538,False
13,27672,889638837579907072,4735,False
14,15359,889531135344209921,2321,False
15,25652,889278841981685760,5637,False
16,29611,888917238123831296,4709,False
17,26080,888804989199671297,4559,False
18,20290,888554962724278272,3732,False
19,22201,888078434458587136,3653,False
20,30779,887705289381826560,5609,False
21,46959,887517139158093824,12082,False
22,69871,887473957103951883,18781,False
23,34222,887343217045368832,10737,False
24,31061,887101392804085760,6167,False
25,35859,886983233522544640,8084,False
26,12306,886736880519319552,3443,False
27,22798,886680336477933568,4610,False
28,21524,886366144734445568,3316,False
29,117,886267009285017600,4,False
30,28469,886258384151887873,6523,False
31,0,886054160059072513,108,False
32,33382,885984800019947520,7097,False
33,36689,885528943205470208,6683,False
34,20788,885518971528720385,3899,False
35,0,885311592912609280,19297,False
36,22367,885167619883638784,4556,False
37,68152,884925521741709313,16439,False
38,28514,884876753390489601,6096,False
39,24765,884562892145688576,5100,False
40,27478,884441805382717440,5856,False
41,74423,884247878851493888,21298,False
42,20771,884162670584377345,3128,False
43,22349,883838122936631299,3586,False
44,46860,883482846933004288,10407,False
45,22986,883360690899218434,3825,False
46,37914,883117836046086144,6949,False
47,24445,882992080364220416,4122,False
48,28903,882762694511734784,5134,False
49,28382,882627270321602560,6342,False
50,45880,882268110199369728,12118,False
51,29900,882045870035918850,5203,False
52,24773,881906580714921986,3533,False
53,51522,881666595344535552,11099,False
54,129,881633300179243008,7,False
55,50199,881536004380872706,16570,False
56,23501,881268444196462592,5358,False
57,17346,880935762899988482,2886,False
58,21734,880872448815771648,3989,False
59,29075,880465832366813184,6546,False
60,27640,880221127280381952,4436,False
61,28150,880095782870896641,4533,False
62,22667,879862464715927552,3642,False
63,315,879674319642796034,10,False
64,23822,879492040517615616,3323,False
65,107956,879415818425184262,45849,False
66,17099,879376492567855104,3261,False
67,0,879130579576475649,7181,False
68,23022,879050749262655488,4941,False
69,19317,879008229531029506,2812,False
70,19763,878776093423087618,4319,False
71,30931,878604707211726852,7582,False
72,0,878404777348136964,1349,False
73,0,878316110768087041,6965,False
74,7913,878281511006478336,1349,False
75,42876,878057613040115712,7181,False
76,71144,877736472329191424,17300,False
77,0,877611172832227328,83,False
78,23258,877556246731214848,3994,False
79,27907,877316821321428993,5414,False
80,27755,877201837425926144,5880,False
81,21125,876838120628539392,3506,False
82,23869,876537666061221889,4800,False
83,19163,876484053909872640,2511,False
84,28490,876120275196170240,4903,False
85,25773,875747767867523072,4497,False
86,22185,875144289856114688,5081,False
87,27997,875097192612077568,6342,False
88,26022,875021211251597312,4922,False
89,28439,874680097055178752,4875,False
90,0,874434818259525634,15546,False
91,26651,874296783580663808,4308,False
92,23134,874057562936811520,4125,False
93,35501,874012996292530176,11007,False
94,0,873697596434513921,12518,False
95,24837,873580283840344065,4143,False
96,0,873337748698140672,1667,False
97,7467,873213775632977920,1667,False
98,28031,872967104147763200,5669,False
99,15029,872820683541237760,3884,False
100,0,872668790621863937,31,False
101,21309,872620804844003328,3911,False
102,41606,872486979161796608,9429,False
103,35085,872261713294495745,6649,False
104,35324,872122724285648897,8549,False
105,39090,871879754684805121,11918,False
106,20787,871762521631449091,3678,False
107,20730,871515927908634625,3628,False
108,0,871166179821445120,5991,False
109,21461,871102520638267392,5764,False
110,23255,871032628920680449,3999,False
111,33791,870804317367881728,6393,False
112,121,870726314365509632,3,False
113,12819,870656317836468226,2817,False
114,85011,870374049280663552,27680,False
115,22453,870308999962521604,4384,False
116,37771,870063196459192321,8840,False
117,0,869988702071779329,25661,False
118,43710,869772420881756160,10663,False
119,29116,869702957897576449,6728,False
120,16476,869596645499047938,3327,False
121,21112,869227993411051520,4023,False
122,55098,868880397819494401,12518,False
123,0,868639477480148993,2240,False
124,28295,868622495443632128,6275,False
125,10539,868552278524837888,2240,False
126,24964,867900495410671616,4439,False
127,35179,867774946302451713,7788,False
128,16755,867421006826221569,2697,False
129,0,867072653475098625,135,False
130,33420,867051520902168576,8425,False
131,0,866816280283807744,32883,False
132,20888,866720684873056260,5168,False
133,20070,866686824827068416,3727,False
134,106827,866450705531457537,32883,False
135,54720,866334964761202691,15546,False
136,0,866094527597207552,8952,False
137,26640,865718153858494464,6008,False
138,27530,865359393868664832,5384,False
139,29063,865006731092295680,8209,False
140,33651,864873206498414592,9361,False
141,15195,864279568663928832,3266,False
142,31459,864197398364647424,9616,False
143,21477,863907417377173506,4441,False
144,15935,863553081350529029,4489,False
145,0,863471782782697472,2687,False
146,24829,863432100342583297,5664,False
147,2363,863427515083354112,105,False
148,9094,863079547188785154,1195,False
149,8945,863062471531167744,2687,False
150,20011,862831371563274240,5457,False
151,17779,862722525377298433,3809,False
152,21492,862457590147678208,5388,False
153,66437,862096992088072192,21840,False
154,0,861769973181624320,37911,False
155,37744,861383897657036800,11528,False
156,18032,861288531465048066,4479,False
157,17538,861005113778896900,4119,False
158,0,860981674716409858,2334,False
159,0,860924035999428608,882,False
160,7878,860563773140209665,2334,False
161,24678,860524505164394496,5698,False
162,19154,860276583193509888,3745,False
163,17474,860184849394610176,6295,False
164,0,860177593139703809,33421,False
165,20021,859924526012018688,4349,False
166,16105,859851578198683649,3780,False
167,19476,859607811541651456,1704,False
168,75193,859196978902773760,25661,False
169,35553,859074603037188101,14740,False
170,0,858860390427611136,8805,False
171,16304,858843525470990336,3771,False
172,22640,858471635011153920,5271,False
173,16524,858107933456039936,3154,False
174,16952,857989990357356544,2812,False
175,36021,857746408056729600,11524,False
176,6236,857393404942143489,1785,False
177,21041,857263160327368704,4934,False
178,242,857214891891077121,20,False
179,0,857062103051644929,183,False
180,19910,857029823797047296,4364,False
181,0,856602993587888130,11633,False
182,17135,856543823941562368,3131,False
183,12446,856526610513747968,2068,False
184,0,856330835276025856,731,False
185,545,856288084350160898,17,False
186,29086,856282028240666624,6841,False
187,320,855862651834028034,27,False
188,4407,855860136149123072,1058,False
189,12498,855857698524602368,2313,False
190,47844,855851453814013952,19196,False
191,28056,855818117272018944,5943,False
192,31657,855459453768019968,8987,False
193,0,855245323840757760,6568,False
194,0,855138241867124737,50,False
195,24188,854732716440526848,6690,False
196,31131,854482394044301312,7608,False
197,20046,854365224396361728,5159,False
198,33911,854120357044912130,8285,False
199,17169,854010172552949760,3433,False
200,30414,853760880890318849,6403,False
201,37198,853639147608842240,11265,False
202,16508,853299958564483072,3928,False
203,0,852936405516943360,2243,False
204,9658,852912242202992640,2037,False
205,15939,852672615818899456,2388,False
206,17492,852553447878664193,3885,False
207,35325,852311364735569921,10961,False
208,21378,852226086759018497,7570,False
209,12217,852189679701164033,1741,False
210,0,851953902622658560,10706,False
211,0,851861385021730816,23,False
212,17300,851591660324737024,3819,False
213,25944,851464819735769094,7855,False
214,22090,851224888060895234,6350,False
215,33348,850753642995093505,10352,False
216,13994,850380195714523136,2915,False
217,3647,850333567704068097,367,False
218,17519,850145622816686080,4244,False
219,21944,850019790995546112,5459,False
220,32390,849776966551130114,8404,False
221,0,849668094696017920,5513,False
222,17039,849412302885593088,3487,False
223,12240,849336543269576704,2101,False
224,32617,849051919805034497,7396,False
225,27104,848690551926992896,4826,False
226,20229,848324959059550208,4037,False
227,8834,848213670039564288,832,False
228,17618,848212111729840128,3444,False
229,0,847978865427394560,3652,False
230,0,847971574464610304,482,False
231,25296,847962785489326080,5730,False
232,5935,847842811428974592,1522,False
233,7558,847617282490613760,468,False
234,20208,847606175596138505,3774,False
235,22036,847251039262605312,4800,False
236,21588,847157206088847362,6572,False
237,23108,847116187444137987,3583,False
238,21685,846874817362120707,4404,False
239,48410,846514051647705089,13076,False
240,15304,846505985330044928,3492,False
241,34394,846153765933735936,10226,False
242,33188,846139713627017216,10972,False
243,17256,846042936437604353,3224,False
244,31737,845812042753855489,9894,False
245,27154,845677943972139009,5365,False
246,0,845459076796616705,15071,False
247,8241,845397057150107648,2072,False
248,25225,845306882940190720,6039,False
249,0,845098359547420673,8640,False
250,14738,844979544864018432,2909,False
251,16361,844973813909606400,3617,False
252,42022,844704788403113984,11633,False
253,17871,844580511645339650,3533,False
254,14753,844223788422217728,2450,False
255,16327,843981021012017153,3285,False
256,23211,843856843873095681,5220,False
257,18310,843604394117681152,3081,False
258,23315,843235543001513987,6852,False
259,0,842892208864923648,56625,False
260,16440,842846295480000512,4023,False
261,7321,842765311967449089,1439,False
262,19637,842535590457499648,3937,False
263,26569,842163532590374912,6568,False
264,15204,842115215311396866,3386,False
265,0,841833993020538882,17504,False
266,27854,841680585030541313,8748,False
267,13755,841439858740625411,4168,False
268,21402,841320156043304961,6080,False
269,17305,841314665196081154,5312,False
270,24926,841077006473256960,5991,False
271,0,840761248237133825,1972,False
272,0,840728873075638272,18285,False
273,197,840698636975636481,3,False
274,13377,840696689258311684,1116,False
275,9761,840632337062862849,1972,False
276,17918,840370681858686976,5146,False
277,20950,840268004936019968,6497,False
278,14640,839990271299457024,2597,False
279,29957,839549326359670784,8805,False
280,0,839290600511926273,158,False
281,29684,839239871831150596,7422,False
282,21289,838952994649550848,4505,False
283,12183,838921590096166913,2357,False
284,0,838916489579200512,38,False
285,0,838831947270979586,12643,False
286,11892,838561493054533637,1504,False
287,24664,838476387338051585,5484,False
288,0,838201503651401729,11525,False
289,1824,838150277551247360,370,False
290,150,838085839343206401,0,False
291,19183,838083903487373313,3582,False
292,37277,837820167694528512,8952,False
293,4204,837482249356513284,495,False
294,13967,837471256429613056,2631,False
295,23074,837366284874571778,6005,False
296,17480,837110210464448512,2731,False
297,0,837012587749474308,88,False
298,13879,836989968035819520,2610,False
299,21029,836753516572119041,5237,False
300,13782,836677758902222849,2522,False
301,0,836648853927522308,626,False
302,0,836397794269200385,31314,False
303,16037,836380477523124226,3337,False
304,23177,836260088725786625,4850,False
